price_per_area,rooms,fee,living_space,supplemental_area,price,asked_price,land_area,longitude,latitude,typeSummary,year,month,day,floor
32051.0,2.0,3042.0,39.0,,1250000.0,1175000.0,,60.677109228448984,17.1276304768477,Bostadsrättslägenhet,2020,10,12,0.0
20764.0,3.0,4233.0,72.0,,1495000.0,1495000.0,,59.309946353126215,14.093055098948822,Bostadsrättslägenhet,2020,10,12,0.0
20608.0,6.0,,148.0,2.0,3050000.0,2975000.0,376.0,58.98530755637052,17.884849168905266,Kedjehus,2020,10,12,0.0
16667.0,5.0,,150.0,82.0,2500000.0,1950000.0,930.0,56.08431490435941,14.479011011583912,Villa,2020,10,12,0.0
112868.0,3.0,3076.0,68.0,,7675000.0,6795000.0,,59.33658040542884,18.053622262812546,Bostadsrättslägenhet,2020,10,12,0.0
31273.0,2.0,4043.0,55.0,,1720000.0,1645000.0,,59.414786831850186,17.921831982182447,Bostadsrättslägenhet,2020,10,12,3.0
32093.0,8.0,,215.0,30.0,6900000.0,6995000.0,825.0,59.42782972682712,17.811588443746892,Kedjehus,2020,10,12,0.0
30909.0,2.0,3336.0,55.0,,1700000.0,1500000.0,,59.28160704954342,15.227842193216603,Bostadsrättslägenhet,2020,10,12,0.0
56250.0,7.0,,136.0,58.0,7650000.0,6725000.0,1355.0,59.22411942744167,18.19370534848295,Villa,2020,10,12,0.0
34762.0,5.0,,105.0,70.0,3650000.0,2995000.0,638.0,56.04582225512739,12.727229839571843,Villa,2020,10,12,0.0
41974.0,2.0,2437.0,38.0,,1595000.0,1595000.0,,55.59814906897818,13.015580442182955,Bostadsrättslägenhet,2020,10,12,0.0
53302.0,2.0,2649.0,53.0,0.0,2825000.0,2495000.0,,59.28474955417135,17.966501995565736,Bostadsrättslägenhet,2020,10,12,0.0
73333.0,2.0,2961.0,52.5,,3850000.0,3895000.0,,59.31498147076069,18.124652833762596,Bostadsrättslägenhet,2020,10,12,0.0
8333.0,5.0,,180.0,0.0,1500000.0,595000.0,33720.0,61.983059787326894,14.859177332560776,Gård,2020,10,12,0.0
29224.0,9.0,,219.0,99.0,6400000.0,4475000.0,933.0,57.702148027442455,12.961601037824666,Villa,2020,10,12,0.0
5556.0,7.0,,180.0,85.0,1000000.0,875000.0,845.0,57.352998314374105,12.891479056736921,Villa,2020,10,12,0.0
896.0,6.0,,106.0,,95000.0,175000.0,885.0,65.79465305543972,23.16985314756004,Villa,2020,10,12,0.0
38776.0,3.0,3819.0,73.5,,2850000.0,2495000.0,,57.09427866444675,12.250623932359748,Bostadsrättslägenhet,2020,10,12,0.0
31273.0,2.0,4043.0,55.0,,1720000.0,1645000.0,,59.414786831850186,17.921831982182447,Bostadsrättslägenhet,2020,10,12,3.0
,,,,,500000.0,495000.0,1952.0,59.726648652448965,18.78205284325947,Tomt,2020,10,12,0.0
33923.0,2.0,3967.0,65.0,,2205000.0,2095000.0,,57.66252780812119,11.991025530189972,Bostadsrättslägenhet,2020,10,12,0.0
33224.0,3.0,4650.0,76.0,,2525000.0,2395000.0,,57.663584700905375,11.990116172171783,Bostadsrättslägenhet,2020,10,12,0.0
18543.0,8.0,,151.0,71.0,2800000.0,2850000.0,673.0,59.31413260910676,14.120752225774957,Villa,2020,10,12,0.0
64035.0,2.0,2726.0,57.0,,3650000.0,3195000.0,,59.30683901590043,18.026543273515795,Bostadsrättslägenhet,2020,10,12,0.0
,,,,,1795000.0,1795000.0,884.6,57.78203151256862,12.100173591490348,Tomt,2020,10,12,0.0
23585.0,3.0,3028.0,53.0,,1250000.0,1095000.0,,55.58317711680426,13.023999800377835,Bostadsrättslägenhet,2020,10,12,0.0
24351.0,3.0,4322.0,65.5,,1595000.0,1595000.0,,57.85100499127788,12.02013365539596,Bostadsrättslägenhet,2020,10,12,0.0
